Estado,Fecha,Año,Mes,Temperatura,Precipitacion,Humedad,PM25,PM10,O3,NO2,SO2,CO,Poblacion,Densidad_Poblacional,Poblacion_Vulnerable_Pct,Casos_Respiratorios,Casos_Por_100k,PM25_Movil_3,PM10_Movil_3,Temp_Rezago_1,Precip_Rezago_1,Casos_Rezago_1,Riesgo_Alto
Aguascalientes,2019-08-01,2019,8,27.91,86.21,73.2,13.87,27.95,0.04075,0.016,0.00846,0.4,1425607,253.76,11.5,2741,192.26897735490917,11.18,26.3,30.66,101.68,2209.0,0
Aguascalientes,2019-09-01,2019,9,26.74,62.46,65.17,8.43,8.97,0.03026,0.01356,0.00584,0.291,1425607,253.76,11.5,2440,171.15516408098446,10.063333333333333,18.16,27.91,86.21,2741.0,0
Aguascalientes,2019-10-01,2019,10,17.58,39.64,52.69,14.29,29.39,0.02615,0.02088,0.0124,0.462,1425607,253.76,11.5,3609,253.15532260994792,12.196666666666667,22.103333333333335,26.74,62.46,2440.0,0
Aguascalientes,2019-11-01,2019,11,10.45,23.23,43.03,13.26,19.88,0.0197,0.01997,0.01166,0.559,1425607,253.76,11.5,4326,303.44968844849944,11.993333333333332,19.41333333333333,17.58,39.64,3609.0,1
Aguascalientes,2019-12-01,2019,12,8.66,13.98,30.07,14.35,29.67,0.01823,0.02718,0.01287,0.828,1425607,253.76,11.5,4749,333.12125992647344,13.966666666666667,26.313333333333333,10.45,23.23,4326.0,1
Aguascalientes,2020-01-01,2020,1,5.9,28.94,40.89,17.69,35.24,0.02586,0.02946,0.01751,0.844,1425607,253.76,11.5,5369,376.6115065372154,15.1,28.263333333333335,8.66,13.98,4749.0,1
Aguascalientes,2020-02-01,2020,2,9.93,12.24,27.0,19.67,43.76,0.03059,0.03327,0.01776,1.08,1425607,253.76,11.5,5083,356.5498766490344,17.236666666666668,36.223333333333336,5.9,28.94,5369.0,1
Aguascalientes,2020-03-01,2020,3,12.6,46.76,46.6,20.2,31.31,0.03223,0.0335,0.01525,0.836,1425607,253.76,11.5,4496,315.37443348692875,19.186666666666667,36.77,9.93,12.24,5083.0,1
Aguascalientes,2020-04-01,2020,4,18.39,54.81,66.05,18.37,34.6,0.04456,0.0315,0.01507,0.716,1425607,253.76,11.5,4053,284.29995082796313,19.413333333333338,36.556666666666665,12.6,46.76,4496.0,0
Aguascalientes,2020-05-01,2020,5,23.22,55.15,66.73,10.34,17.06,0.04611,0.01913,0.00828,0.413,1425607,253.76,11.5,3035,212.8917717154868,16.303333333333335,27.656666666666666,18.39,54.81,4053.0,0
Aguascalientes,2020-06-01,2020,6,29.57,79.47,75.74,7.44,5.0,0.05207,0.00579,0.00626,0.389,1425607,253.76,11.5,2383,167.15686721515817,12.049999999999999,18.88666666666667,23.22,55.15,3035.0,0
Aguascalientes,2020-07-01,2020,7,31.63,96.36,67.35,7.13,10.5,0.04536,0.00502,0.00515,0.194,1425607,253.76,11.5,2457,172.34763858482737,8.303333333333333,10.853333333333333,29.57,79.47,2383.0,0
Aguascalientes,2020-08-01,2020,8,31.11,71.04,78.27,11.45,13.42,0.04316,0.01611,0.01054,0.247,1425607,253.76,11.5,2430,170.45370849048862,8.673333333333334,9.64,31.63,96.36,2457.0,0
Aguascalientes,2020-09-01,2020,9,23.53,61.55,62.7,5.15,5.0,0.03289,0.00799,0.00326,0.1,1425607,253.76,11.5,2370,166.24497494751358,7.909999999999999,9.64,31.11,71.04,2430.0,0
Aguascalientes,2020-10-01,2020,10,17.07,42.02,45.83,15.76,29.55,0.02651,0.02242,0.01179,0.653,1425607,253.76,11.5,4027,282.47616629267395,10.786666666666667,15.99,23.53,61.55,2370.0,0
Aguascalientes,2020-11-01,2020,11,11.98,21.05,53.39,14.66,22.98,0.01967,0.02365,0.0116,0.592,1425607,253.76,11.5,4484,314.53268677833375,11.856666666666667,19.176666666666666,17.07,42.02,4027.0,1
Aguascalientes,2020-12-01,2020,12,9.23,33.07,39.85,24.52,39.32,0.02188,0.03711,0.02289,1.315,1425607,253.76,11.5,5461,383.06489796977706,18.313333333333333,30.616666666666664,11.98,21.05,4484.0,1
Aguascalientes,2021-01-01,2021,1,8.27,14.55,37.04,21.53,26.25,0.01836,0.03744,0.01914,1.064,1425607,253.76,11.5,4928,345.6773149963489,20.236666666666665,29.516666666666666,9.23,33.07,5461.0,1
Aguascalientes,2021-02-01,2021,2,8.1,24.77,42.56,18.86,27.56,0.03221,0.03033,0.01497,0.93,1425607,253.76,11.5,5025,352.48143422415853,21.636666666666667,31.043333333333333,8.27,14.55,4928.0,1
Aguascalientes,2021-03-01,2021,3,13.84,39.92,31.0,21.37,35.36,0.03435,0.03823,0.01748,0.933,1425607,253.76,11.5,4432,310.8851177077554,20.58666666666667,29.723333333333333,8.1,24.77,5025.0,1
Aguascalientes,2021-04-01,2021,4,21.56,64.43,63.56,13.64,22.8,0.04157,0.01964,0.00996,0.591,1425607,253.76,11.5,3124,219.13472647089975,17.956666666666667,28.573333333333334,13.84,39.92,4432.0,0
Aguascalientes,2021-05-01,2021,5,26.05,63.08,67.02,12.96,20.06,0.04985,0.0186,0.01175,0.604,1425607,253.76,11.5,2811,197.17916648838005,15.990000000000002,26.073333333333334,21.56,64.43,3124.0,0
Aguascalientes,2021-06-01,2021,6,26.43,108.17,73.87,12.12,17.62,0.05032,0.01198,0.01042,0.366,1425607,253.76,11.5,2761,193.67188853590085,12.906666666666666,20.16,26.05,63.08,2811.0,0
Aguascalientes,2021-07-01,2021,7,30.7,96.06,71.47,11.22,20.43,0.04505,0.01366,0.00782,0.231,1425607,253.76,11.5,2525,177.11753660019906,12.1,19.37,26.43,108.17,2761.0,0
Aguascalientes,2021-08-01,2021,8,28.19,90.07,75.45,11.25,16.32,0.04314,0.01657,0.00908,0.117,1425607,253.76,11.5,2761,193.67188853590085,11.530000000000001,18.123333333333335,30.7,96.06,2525.0,0
Aguascalientes,2021-09-01,2021,9,26.55,86.47,71.05,14.36,30.22,0.03234,0.01737,0.01054,0.18,1425607,253.76,11.5,2933,205.73692469242926,12.276666666666666,22.323333333333334,28.19,90.07,2761.0,0
Aguascalientes,2021-10-01,2021,10,18.67,48.23,55.09,16.49,33.03,0.02744,0.02503,0.01433,0.568,1425607,253.76,11.5,3780,265.15021320742676,14.033333333333331,26.523333333333337,26.55,86.47,2933.0,0
Aguascalientes,2021-11-01,2021,11,13.37,11.75,45.94,15.66,22.02,0.0251,0.02699,0.0128,0.914,1425607,253.76,11.5,4360,305.8346374561853,15.503333333333332,28.423333333333332,18.67,48.23,3780.0,1
Aguascalientes,2021-12-01,2021,12,6.75,9.83,40.15,18.56,38.56,0.02155,0.03621,0.01617,0.752,1425607,253.76,11.5,5268,369.5268050732074,16.903333333333332,31.203333333333333,13.37,11.75,4360.0,1
Aguascalientes,2022-01-01,2022,1,5.67,21.71,37.17,21.7,28.76,0.02407,0.03939,0.02108,0.895,1425607,253.76,11.5,5363,376.1906331829179,18.64,29.78,6.75,9.83,5268.0,1
Aguascalientes,2022-02-01,2022,2,8.36,7.24,40.93,19.5,36.14,0.03001,0.03358,0.01647,0.823,1425607,253.76,11.5,5266,369.3865139551083,19.919999999999998,34.48666666666667,5.67,21.71,5363.0,1
Aguascalientes,2022-03-01,2022,3,11.82,23.64,49.83,18.11,31.19,0.03915,0.03351,0.01427,0.81,1425607,253.76,11.5,4537,318.25040140796165,19.77,32.03,8.36,7.24,5266.0,1
Aguascalientes,2022-04-01,2022,4,17.43,40.43,45.26,13.61,23.42,0.04116,0.01895,0.01088,0.467,1425607,253.76,11.5,3902,273.70797141147597,17.073333333333334,30.25,11.82,23.64,4537.0,0
Aguascalientes,2022-05-01,2022,5,22.45,71.07,70.66,9.02,7.78,0.05122,0.01079,0.00773,0.222,1425607,253.76,11.5,2758,193.4614518587521,13.579999999999998,20.796666666666667,17.43,40.43,3902.0,0
Aguascalientes,2022-06-01,2022,6,27.41,97.78,69.66,8.46,16.64,0.04987,0.00912,0.00566,0.278,1425607,253.76,11.5,2848,199.77455217321463,10.363333333333333,15.946666666666667,22.45,71.07,2758.0,0
Aguascalientes,2022-07-01,2022,7,29.04,86.15,62.28,11.95,13.14,0.04879,0.01153,0.00989,0.43,1425607,253.76,11.5,2464,172.83865749817446,9.81,12.520000000000001,27.41,97.78,2848.0,0
Aguascalientes,2022-08-01,2022,8,26.59,105.16,72.15,11.53,19.29,0.04479,0.01499,0.00749,0.462,1425607,253.76,11.5,2848,199.77455217321463,10.646666666666667,16.356666666666666,29.04,86.15,2464.0,0
Aguascalientes,2022-09-01,2022,9,24.82,72.87,65.06,11.16,15.01,0.03182,0.01834,0.00931,0.287,1425607,253.76,11.5,2768,194.16290744924794,11.546666666666667,15.813333333333333,26.59,105.16,2848.0,0
Aguascalientes,2022-10-01,2022,10,17.87,34.28,61.47,15.67,30.41,0.02837,0.02441,0.01436,0.735,1425607,253.76,11.5,3975,278.8285972220956,12.786666666666667,21.570000000000004,24.82,72.87,2768.0,0
Aguascalientes,2022-11-01,2022,11,12.45,28.17,41.47,18.15,36.07,0.0178,0.02864,0.01423,0.824,1425607,253.76,11.5,4506,316.07588907742456,14.993333333333332,27.163333333333338,17.87,34.28,3975.0,1
Aguascalientes,2022-12-01,2022,12,7.52,34.4,34.34,15.7,26.73,0.02151,0.02642,0.01402,0.7,1425607,253.76,11.5,4922,345.2564416420514,16.506666666666664,31.069999999999997,12.45,28.17,4506.0,1
Aguascalientes,2023-01-01,2023,1,4.97,21.1,34.83,27.66,55.09,0.02521,0.04666,0.02444,1.548,1425607,253.76,11.5,6217,436.0949406112625,20.503333333333334,39.29666666666667,7.52,34.4,4922.0,1
Aguascalientes,2023-02-01,2023,2,7.8,19.35,31.66,16.97,33.62,0.03072,0.02863,0.01284,0.915,1425607,253.76,11.5,5379,377.3129621277112,20.11,38.48,4.97,21.1,6217.0,1
Aguascalientes,2023-03-01,2023,3,15.13,22.96,57.81,22.55,38.04,0.03933,0.03933,0.01923,1.043,1425607,253.76,11.5,4787,335.7867911703576,22.39333333333333,42.25,7.8,19.35,5379.0,1
Aguascalientes,2023-04-01,2023,4,18.11,63.36,48.44,20.6,34.07,0.04624,0.03312,0.01542,0.791,1425607,253.76,11.5,4242,297.5574614883344,20.040000000000003,35.24333333333333,15.13,22.96,4787.0,1
Aguascalientes,2023-05-01,2023,5,23.64,63.23,57.79,12.78,27.05,0.0517,0.01821,0.00975,0.473,1425607,253.76,11.5,3192,223.90462448627144,18.643333333333334,33.053333333333335,18.11,63.36,4242.0,0
Aguascalientes,2023-06-01,2023,6,28.75,70.65,68.98,7.23,16.66,0.05439,0.00322,0.00456,0.286,1425607,253.76,11.5,2763,193.812179654,13.536666666666667,25.926666666666666,23.64,63.23,3192.0,0
Aguascalientes,2023-07-01,2023,7,29.24,91.7,76.69,5.49,5.0,0.0439,0.00601,0.00366,0.236,1425607,253.76,11.5,2373,166.45541162466233,8.5,16.236666666666668,28.75,70.65,2763.0,0
Aguascalientes,2023-08-01,2023,8,31.32,89.36,71.24,8.94,19.1,0.0398,0.01284,0.0061,0.1,1425607,253.76,11.5,2681,188.06024381193416,7.22,13.586666666666668,29.24,91.7,2373.0,0
Aguascalientes,2023-09-01,2023,9,25.46,82.49,63.69,12.99,17.22,0.03922,0.02102,0.00984,0.416,1425607,253.76,11.5,2813,197.3194576064792,9.14,13.773333333333333,31.32,89.36,2681.0,0
Aguascalientes,2023-10-01,2023,10,20.02,35.22,62.21,15.71,21.55,0.02268,0.02643,0.01373,0.682,1425607,253.76,11.5,3397,238.28446409143615,12.546666666666667,19.290000000000003,25.46,82.49,2813.0,0
Aguascalientes,2023-11-01,2023,11,12.71,42.61,41.18,17.3,27.1,0.02525,0.03047,0.01346,0.9,1425607,253.76,11.5,4712,330.5258742416388,15.333333333333334,21.956666666666667,20.02,35.22,3397.0,1
Aguascalientes,2023-12-01,2023,12,9.19,39.66,44.37,14.61,20.24,0.01918,0.02479,0.01231,0.815,1425607,253.76,11.5,4776,335.0151900208122,15.873333333333333,22.963333333333335,12.71,42.61,4712.0,1
Aguascalientes,2024-01-01,2024,1,7.32,3.93,34.85,18.16,40.78,0.02415,0.03094,0.01538,0.997,1425607,253.76,11.5,5307,372.2624818761412,16.689999999999998,29.373333333333335,9.19,39.66,4776.0,1
Aguascalientes,2024-02-01,2024,2,7.15,14.65,35.37,22.18,41.44,0.02614,0.03815,0.01717,1.246,1425607,253.76,11.5,5695,399.47895878737967,18.316666666666666,34.15333333333333,7.32,3.93,5307.0,1
Aguascalientes,2024-03-01,2024,3,13.66,31.26,45.71,16.48,32.95,0.03695,0.02988,0.01501,0.637,1425607,253.76,11.5,4661,326.94845073011004,18.94,38.39,7.15,14.65,5695.0,1
Aguascalientes,2024-04-01,2024,4,19.38,41.23,63.28,12.37,21.07,0.04536,0.02089,0.00866,0.441,1425607,253.76,11.5,3348,234.8473316980065,17.009999999999998,31.820000000000004,13.66,31.26,4661.0,0
Aguascalientes,2024-05-01,2024,5,24.77,58.4,57.68,9.99,21.15,0.04897,0.01608,0.00741,0.416,1425607,253.76,11.5,3100,217.45123305370976,12.946666666666667,25.05666666666667,19.38,41.23,3348.0,0
Aguascalientes,2024-06-01,2024,6,28.32,91.82,74.06,9.82,8.85,0.04824,0.0127,0.00737,0.217,1425607,253.76,11.5,2754,193.18086962255376,10.726666666666667,17.023333333333333,24.77,58.4,3100.0,0
Aguascalientes,2024-07-01,2024,7,30.71,76.43,71.76,4.31,8.68,0.04606,0.00675,0.00305,0.152,1425607,253.76,11.5,2494,174.94302426966198,8.040000000000001,12.893333333333333,28.32,91.82,2754.0,0
Aguascalientes,2024-08-01,2024,8,27.6,75.32,64.38,13.48,25.06,0.04023,0.01709,0.00928,0.329,1425607,253.76,11.5,3062,214.78570180982555,9.203333333333333,14.196666666666665,30.71,76.43,2494.0,0
Aguascalientes,2024-09-01,2024,9,24.31,89.14,74.14,8.7,16.76,0.03548,0.01285,0.00596,0.287,1425607,253.76,11.5,2936,205.947361369578,8.83,16.833333333333332,27.6,75.32,3062.0,0
Aguascalientes,2024-10-01,2024,10,16.1,54.07,54.06,14.15,35.72,0.03072,0.02015,0.01029,0.456,1425607,253.76,11.5,4343,304.6421629523424,12.11,25.846666666666664,24.31,89.14,2936.0,1
Aguascalientes,2024-11-01,2024,11,10.17,18.79,42.2,14.18,39.98,0.02183,0.02605,0.01184,0.599,1425607,253.76,11.5,5069,355.5678388223402,12.343333333333334,30.820000000000004,16.1,54.07,4343.0,1
Aguascalientes,2024-12-01,2024,12,7.28,4.21,32.42,22.9,48.77,0.02226,0.03902,0.02033,1.281,1425607,253.76,11.5,5478,384.25737247362,17.076666666666668,41.49,10.17,18.79,5069.0,1
Aguascalientes,2025-01-01,2025,1,5.45,29.58,32.8,19.19,26.54,0.02193,0.03948,0.01632,0.94,1425607,253.76,11.5,5795,406.4935146923381,18.756666666666668,38.43,7.28,4.21,5478.0,1
Aguascalientes,2025-02-01,2025,2,6.39,18.12,41.09,21.85,38.46,0.02598,0.036,0.01957,1.177,1425607,253.76,11.5,5507,386.2915936860579,21.313333333333336,37.92333333333334,5.45,29.58,5795.0,1
Aguascalientes,2025-03-01,2025,3,12.78,24.92,45.01,21.83,40.51,0.03181,0.03612,0.01909,1.03,1425607,253.76,11.5,4975,348.97415627167936,20.956666666666667,35.169999999999995,6.39,18.12,5507.0,1
Aguascalientes,2025-04-01,2025,4,19.19,37.96,51.11,10.52,22.83,0.04407,0.01109,0.00965,0.335,1425607,253.76,11.5,3935,276.02277486011224,18.066666666666666,33.93333333333334,12.78,24.92,4975.0,0
Aguascalientes,2025-05-01,2025,5,24.67,58.78,64.96,13.75,31.31,0.05171,0.01804,0.00997,0.552,1425607,253.76,11.5,3266,229.09539585594064,15.366666666666665,31.549999999999997,19.19,37.96,3935.0,0
Aguascalientes,2025-06-01,2025,6,27.14,77.6,74.86,11.48,21.28,0.04572,0.017,0.00893,0.202,1425607,253.76,11.5,2812,197.24931204742964,11.916666666666666,25.14,24.67,58.78,3266.0,0
Aguascalientes,2025-07-01,2025,7,30.42,79.68,83.47,5.98,6.46,0.0508,0.00688,0.00298,0.186,1425607,253.76,11.5,2584,181.25612458412454,10.403333333333334,19.683333333333334,27.14,77.6,2812.0,0
Aguascalientes,2025-08-01,2025,8,29.51,70.7,66.5,8.94,14.35,0.04582,0.0107,0.00485,0.141,1425607,253.76,11.5,2821,197.8806220788759,8.800000000000002,14.030000000000001,30.42,79.68,2584.0,0
Aguascalientes,2025-09-01,2025,9,23.1,65.6,60.02,9.78,20.2,0.03382,0.01077,0.00666,0.501,1425607,253.76,11.5,3254,228.25364914734564,8.233333333333334,13.67,29.51,70.7,2821.0,0
Aguascalientes,2025-10-01,2025,10,19.76,40.72,61.98,13.84,26.73,0.02402,0.0221,0.01094,0.458,1425607,253.76,11.5,3816,267.67545333321175,10.853333333333333,20.426666666666666,23.1,65.6,3254.0,0
Aguascalientes,2025-11-01,2025,11,11.12,47.23,41.31,18.53,32.59,0.02091,0.02998,0.01533,0.844,1425607,253.76,11.5,5020,352.1307064289106,14.050000000000002,26.50666666666667,19.76,40.72,3816.0,1
Aguascalientes,2025-12-01,2025,12,9.95,13.31,38.59,20.2,44.26,0.01924,0.03553,0.01805,1.083,1425607,253.76,11.5,5227,366.6508371521745,17.523333333333337,34.52666666666667,11.12,47.23,5020.0,1
Aguascalientes,2026-01-01,2026,1,6.4087499999999995,21.763749999999998,36.94,20.25375,35.5625,0.02492,0.04073,0.0188,1.213,1425607,253.76,11.5,5934,416.24374740023023,19.66125,37.47083333333333,9.95,13.31,5227.0,1
Aguascalientes,2026-02-01,2026,2,8.2,28.98,40.98,23.79,52.05,0.03194,0.04212,0.02091,1.364,1425607,253.76,11.5,5529,387.8347959851488,21.414583333333336,43.9575,6.4087499999999995,21.763749999999998,5934.0,1
Aguascalientes,2026-03-01,2026,3,12.47,36.1,41.7,19.6,34.32,0.03632,0.03264,0.01709,0.943,1425607,253.76,11.5,4982,349.46517518502645,21.214583333333334,40.64416666666667,8.2,28.98,5529.0,1
Aguascalientes,2026-04-01,2026,4,17.38,58.17,50.37,12.37,29.64,0.04468,0.01981,0.01064,0.463,1425607,253.76,11.5,4111,288.368393252839,18.586666666666666,38.67,12.47,36.1,4982.0,0
Aguascalientes,2026-05-01,2026,5,24.18,73.78,62.78,15.04,27.79,0.0435,0.02037,0.01102,0.419,1425607,253.76,11.5,3168,222.22113106908145,15.670000000000002,30.583333333333332,17.38,58.17,4111.0,0
Baja California,2018-01-01,2018,1,13.64,15.17,32.67,16.57,34.58,0.01992,0.0278,0.01489,0.771,3769020,52.75,10.2,10110,268.2394893102186,16.57,34.58,13.64,15.17,10110.0,0
Baja California,2018-02-01,2018,2,15.39,41.02,37.03,27.0,53.92,0.02698,0.0455,0.02225,1.476,3769020,52.75,10.2,12020,318.9157924341075,21.785,44.25,13.64,15.17,10110.0,1
Baja California,2018-03-01,2018,3,15.17,9.69,52.65,22.48,37.55,0.03005,0.03506,0.01723,1.116,3769020,52.75,10.2,10914,289.57129439482947,22.016666666666666,42.016666666666666,15.39,41.02,12020.0,0
Baja California,2018-04-01,2018,4,18.46,36.54,44.01,18.12,37.56,0.03971,0.02767,0.01393,0.597,3769020,52.75,10.2,9867,261.79219001225783,22.53333333333333,43.01,15.17,9.69,10914.0,0
Baja California,2018-05-01,2018,5,25.21,80.2,62.23,13.96,22.45,0.04877,0.01808,0.0104,0.416,3769020,52.75,10.2,6323,167.76244222636123,18.186666666666667,32.52,18.46,36.54,9867.0,0
Baja California,2018-06-01,2018,6,24.84,103.88,64.35,9.86,19.76,0.05303,0.00989,0.00433,0.289,3769020,52.75,10.2,7044,186.8920833532324,13.979999999999999,26.590000000000003,25.21,80.2,6323.0,0
Baja California,2018-07-01,2018,7,26.05,98.09,65.59,5.0,12.67,0.05028,0.00794,0.00403,0.1,3769020,52.75,10.2,6007,159.37829992942463,9.606666666666667,18.293333333333333,24.84,103.88,7044.0,0
Baja California,2018-08-01,2018,8,23.88,76.8,69.24,11.63,15.97,0.04531,0.0122,0.00875,0.394,3769020,52.75,10.2,7102,188.43094491406254,8.83,16.133333333333336,26.05,98.09,6007.0,0
Baja California,2018-09-01,2018,9,22.095714285714287,81.06714285714285,76.82,13.052857142857144,22.970000000000002,0.03666,0.02009,0.01302,0.384,3769020,52.75,10.2,7346,194.90477630789968,9.894285714285715,17.203333333333333,23.88,76.8,7102.0,0
Baja California,2018-10-01,2018,10,19.99,40.74,47.26,12.24,19.73,0.03048,0.01596,0.00875,0.441,3769020,52.75,10.2,7802,207.00341202752972,12.307619047619049,19.55666666666667,22.095714285714287,81.06714285714285,7346.0,0
Baja California,2018-11-01,2018,11,14.84,44.1,39.41,21.44,36.22,0.02185,0.03147,0.01815,0.804,3769020,52.75,10.2,11088,294.18787907731985,15.577619047619047,26.30666666666667,19.99,40.74,7802.0,1
Baja California,2018-12-01,2018,12,16.33,24.61,34.86,22.53,36.59,0.02408,0.03649,0.01878,1.128,3769020,52.75,10.2,10449,277.233869812312,18.736666666666668,30.846666666666668,14.84,44.1,11088.0,0
Baja California,2019-01-01,2019,1,17.18,21.44,36.32,24.05,45.17,0.0241,0.04572,0.02222,1.338,3769020,52.75,10.2,10656,282.726013658723,22.673333333333332,39.32666666666667,16.33,24.61,10449.0,0
Baja California,2019-02-01,2019,2,17.31,20.51,33.81,23.32,33.47,0.02597,0.03692,0.0203,0.968,3769020,52.75,10.2,10204,270.73350632259843,23.3,38.410000000000004,17.18,21.44,10656.0,0
Baja California,2019-03-01,2019,3,16.9425,21.14875,48.66,20.169999999999998,38.198750000000004,0.03506,0.02897,0.01463,0.739,3769020,52.75,10.2,10194,270.4681853638346,22.513333333333332,38.94625,17.31,20.51,10204.0,0
Baja California,2019-04-01,2019,4,20.27,48.22,53.45,15.9,28.67,0.04173,0.02294,0.01445,0.547,3769020,52.75,10.2,8969,237.96636791526709,19.796666666666667,33.44625,16.9425,21.14875,10194.0,0
Baja California,2019-05-01,2019,5,24.82,87.17,71.46,13.44,19.71,0.0504,0.01933,0.01163,0.502,3769020,52.75,10.2,6664,176.80988692020736,16.50333333333333,28.859583333333337,20.27,48.22,8969.0,0
Baja California,2019-06-01,2019,6,25.52,106.43,66.93,12.68,20.86,0.05264,0.01631,0.00876,0.324,3769020,52.75,10.2,6165,163.57037107789293,14.006666666666666,23.080000000000002,24.82,87.17,6664.0,0
Baja California,2019-07-01,2019,7,25.3,85.02,71.69,8.35,19.34,0.04491,0.01225,0.00602,0.216,3769020,52.75,10.2,6143,162.98666496861253,11.49,19.97,25.52,106.43,6165.0,0
Baja California,2019-08-01,2019,8,25.59,80.1,79.13,11.57,24.15,0.04,0.01472,0.00803,0.152,3769020,52.75,10.2,7064,187.42272527076003,10.866666666666667,21.45,25.3,85.02,6143.0,0
Baja California,2019-09-01,2019,9,22.62,87.67,64.77,7.85,13.4,0.03924,0.01073,0.0056,0.119,3769020,52.75,10.2,6834,181.32034321919227,9.256666666666666,18.963333333333335,25.59,80.1,7064.0,0
Baja California,2019-10-01,2019,10,18.39,57.09,49.98,18.04,24.07,0.02316,0.0263,0.01316,0.705,3769020,52.75,10.2,9428,250.1445999225263,12.486666666666666,20.54,22.62,87.67,6834.0,0
