Estado,Fecha,Año,Mes,Temperatura,Precipitacion,Humedad,PM25,PM10,O3,NO2,SO2,CO,Poblacion,Densidad_Poblacional,Poblacion_Vulnerable_Pct,Casos_Respiratorios
Yucatán,2018-02-01,2018,2,20.47,12.17,54.57,14.8,31.5,0.02891,0.02687,0.01474,0.668,2320898,58.72,12.5,5095
Zacatecas,2018-02-01,2018,2,1.74,21.48,45.16,15.53,41.17,0.02861,0.02755,0.01423,0.831,1622138,21.55,12.8,6319
Aguascalientes,2018-03-01,2018,3,11.55,30.55,47.36,13.69,34.07,0.03736,0.0206,0.01137,0.635,1425607,253.76,11.5,4539
Baja California,2018-03-01,2018,3,15.17,9.69,52.65,22.48,37.55,0.03005,0.03506,0.01723,1.116,3769020,52.75,10.2,10914
Baja California Sur,2018-03-01,2018,3,17.95,9.25,38.52,7.64,12.45,0.03452,0.01212,0.00615,0.1,798447,10.8,9.8,1594
Campeche,2018-03-01,2018,3,23.22,43.22,48.48,9.7,20.04,0.03961,0.01546,0.00704,0.703,928363,16.03,12.0,1684
Chiapas,2018-03-01,2018,3,21.52,28.4,44.88,14.23,26.39,0.03191,0.02342,0.01141,0.583,5543828,75.64,14.5,12693
Chihuahua,2018-03-01,2018,3,9.69,7.12,32.52,8.0,8.2,0.0356,0.01252,0.00635,0.227,3741869,15.12,11.8,9951
Coahuila,2018-03-01,2018,3,13.17,8.52,33.76,17.77,28.13,0.03659,0.03077,0.0138,0.765,3146771,20.76,11.0,9118
Colima,2018-03-01,2018,3,21.03,11.48,48.56,14.99,22.29,0.03856,0.02402,0.01375,0.582,731391,130.03,12.5,1699
CDMX,2018-03-01,2018,3,10.91,8.02,43.45,25.23,54.23,0.03893,0.04058,0.02224,1.09,9209944,6160.5,14.2,34185
Durango,2018-03-01,2018,3,9.63,32.47,48.03,16.92,19.6,0.03436,0.02833,0.01411,0.724,1832650,14.86,12.0,5683
Guanajuato,2018-03-01,2018,3,13.45,43.28,50.52,21.0,44.53,0.03022,0.03527,0.01593,0.831,6166934,201.49,12.2,20160
Guerrero,2018-03-01,2018,3,24.01,46.88,44.08,10.22,18.9,0.03272,0.01725,0.00761,0.511,3540685,55.67,13.8,6042
Hidalgo,2018-03-01,2018,3,12.03,15.76,47.36,22.05,47.54,0.03665,0.0327,0.01724,0.952,3082841,148.12,13.0,10441
Jalisco,2018-03-01,2018,3,18.42,10.81,41.37,19.21,37.49,0.03389,0.02986,0.01479,0.786,8348151,106.23,12.4,23223
Edomex,2018-03-01,2018,3,7.86,34.05,58.16,27.6,50.57,0.03215,0.04439,0.0233,1.526,16992418,760.05,11.9,66372
Michoacán,2018-03-01,2018,3,19.38,11.76,41.48,17.85,30.46,0.03495,0.0282,0.01681,0.892,4748846,81.04,13.2,11742
Morelos,2018-03-01,2018,3,19.26,18.39,49.86,14.19,31.27,0.03092,0.02327,0.01254,0.671,1971520,404.08,13.5,4751
Nayarit,2018-03-01,2018,3,22.26,39.76,48.05,16.42,34.86,0.03849,0.02695,0.01213,0.798,1235456,44.42,12.8,2813
Nuevo León,2018-03-01,2018,3,19.33,44.12,38.62,26.92,47.38,0.03971,0.04433,0.02329,1.241,5784442,90.16,10.8,16283
Oaxaca,2018-03-01,2018,3,20.13,8.98,42.42,10.65,21.67,0.03121,0.01801,0.00846,0.615,4132148,44.07,14.8,8909
Puebla,2018-03-01,2018,3,11.28,29.08,42.8,19.37,40.09,0.03626,0.0325,0.01716,0.899,6583278,191.9,12.6,22527
Querétaro,2018-03-01,2018,3,12.38,26.7,52.05,21.26,39.84,0.03984,0.03419,0.01931,1.136,2368467,202.71,11.2,7513
Quintana Roo,2018-03-01,2018,3,23.3,21.68,58.59,8.28,9.66,0.03234,0.0136,0.00719,0.536,1857985,41.56,9.5,2830
San Luis Potosí,2018-03-01,2018,3,19.18,45.29,43.93,23.53,39.04,0.03167,0.03916,0.02026,1.111,2822255,46.16,12.5,8294
Sinaloa,2018-03-01,2018,3,20.73,16.32,42.35,16.39,26.38,0.0335,0.02988,0.0132,0.671,3026943,52.77,12.0,7040
Sonora,2018-03-01,2018,3,14.84,4.11,28.16,20.29,41.22,0.0358,0.03226,0.01666,0.962,2944840,16.42,11.2,8572
Tabasco,2018-03-01,2018,3,24.79,23.48,70.05,7.39,7.01,0.0326,0.01212,0.008,0.288,2402598,97.15,12.5,3957
Tamaulipas,2018-03-01,2018,3,20.48,26.72,50.94,19.21,36.3,0.03348,0.03307,0.01799,0.942,3527735,44.0,11.5,8409
Tlaxcala,2018-03-01,2018,3,10.21,41.52,50.54,20.81,41.04,0.03837,0.03648,0.01865,1.096,1342977,336.5,12.2,4734
Veracruz,2018-03-01,2018,3,19.8,33.4,60.73,13.64,27.02,0.03818,0.02256,0.01273,0.646,8062579,112.26,13.5,19358
Yucatán,2018-03-01,2018,3,21.57,32.86,63.73,14.78,27.67,0.03107,0.02488,0.01399,0.67,2320898,58.72,12.5,5180
Zacatecas,2018-03-01,2018,3,9.73,11.6,45.93,13.88,27.02,0.03068,0.02505,0.01063,0.652,1622138,21.55,12.8,4887
Aguascalientes,2018-04-01,2018,4,19.93,31.83,47.38,15.12,24.58,0.03775,0.02581,0.01203,0.549,1425607,253.76,11.5,3639
Baja California,2018-04-01,2018,4,18.46,36.54,44.01,18.12,37.56,0.03971,0.02767,0.01393,0.597,3769020,52.75,10.2,9867
Baja California Sur,2018-04-01,2018,4,23.28,11.7,54.5,6.43,19.88,0.04024,0.00956,0.00539,0.233,798447,10.8,9.8,1316
Campeche,2018-04-01,2018,4,25.0,114.57,62.22,11.46,20.49,0.03936,0.01788,0.00963,0.516,928363,16.03,12.0,1633
Chiapas,2018-04-01,2018,4,25.27,85.25,61.65,15.22,29.86,0.04232,0.02148,0.01398,0.605,5543828,75.64,14.5,10553
Chihuahua,2018-04-01,2018,4,17.15,10.19,31.59,9.41,21.92,0.04205,0.01322,0.00511,0.218,3741869,15.12,11.8,8872
Coahuila,2018-04-01,2018,4,,,37.13,,,0.03855,0.0206,0.00983,0.7,3146771,20.76,11.0,6440
Colima,2018-04-01,2018,4,25.23,43.06,55.13,8.61,15.68,0.04101,0.01091,0.00661,0.524,731391,130.03,12.5,1302
CDMX,2018-04-01,2018,4,15.51,36.7,57.86,25.19,41.35,0.04456,0.0379,0.0195,1.077,9209944,6160.5,14.2,31574
Durango,2018-04-01,2018,4,18.57,43.58,58.18,11.79,25.97,0.04567,0.02183,0.00874,0.645,1832650,14.86,12.0,4224
Guanajuato,2018-04-01,2018,4,18.72,64.87,52.58,15.62,25.47,0.0454,0.02338,0.01464,0.798,6166934,201.49,12.2,15744
Guerrero,2018-04-01,2018,4,26.85,37.98,55.6,9.94,18.96,0.03781,0.0144,0.00629,0.438,3540685,55.67,13.8,6313
Hidalgo,2018-04-01,2018,4,16.22,43.84,62.87,11.1,29.98,0.04475,0.0188,0.00884,0.427,3082841,148.12,13.0,8433
Jalisco,2018-04-01,2018,4,21.58,66.49,47.12,20.33,30.33,0.04382,0.02925,0.01666,0.863,8348151,106.23,12.4,20329
Edomex,2018-04-01,2018,4,14.34,68.86,51.64,23.61,41.04,0.04242,0.0365,0.01852,1.022,16992418,760.05,11.9,50159
Michoacán,2018-04-01,2018,4,22.38,36.54,46.3,15.44,27.35,0.04008,0.02056,0.01351,0.571,4748846,81.04,13.2,10666
Morelos,2018-04-01,2018,4,21.44,39.44,57.39,10.26,19.74,0.04579,0.01228,0.00778,0.561,1971520,404.08,13.5,4505
Nayarit,2018-04-01,2018,4,24.38,31.47,53.25,13.12,29.72,0.04225,0.02044,0.01092,0.628,1235456,44.42,12.8,2461
Nuevo León,2018-04-01,2018,4,21.69,40.79,54.02,21.62,35.48,0.04687,0.0339,0.01722,0.873,5784442,90.16,10.8,12762
Oaxaca,2018-04-01,2018,4,23.1,48.19,56.73,6.55,26.47,0.04417,0.01204,0.0042,0.323,4132148,44.07,14.8,7676
Puebla,2018-04-01,2018,4,16.75,64.73,64.57,18.87,29.38,0.04588,0.0286,0.01546,0.995,6583278,191.9,12.6,18351
Querétaro,2018-04-01,2018,4,19.24,31.22,60.25,16.29,31.58,0.04427,0.02572,0.01189,0.815,2368467,202.71,11.2,5630
Quintana Roo,2018-04-01,2018,4,27.16,69.98,66.23,11.51,19.46,0.04532,0.0205,0.00966,0.436,1857985,41.56,9.5,3125
San Luis Potosí,2018-04-01,2018,4,22.43,62.31,48.86,16.6,33.06,0.04186,0.02461,0.01341,0.647,2822255,46.16,12.5,6292
Sinaloa,2018-04-01,2018,4,23.18,45.85,47.8,10.29,26.28,0.04199,0.01415,0.00691,0.576,3026943,52.77,12.0,6184
Sonora,2018-04-01,2018,4,21.67,11.3,46.26,12.15,27.5,0.04229,0.01544,0.00807,0.588,2944840,16.42,11.2,6687
Tabasco,2018-04-01,2018,4,28.66,112.52,72.82,9.17,18.46,0.04677,0.01224,0.00705,0.197,2402598,97.15,12.5,4026
Tamaulipas,2018-04-01,2018,4,22.31,62.12,49.48,8.72,17.68,0.0436,0.0111,0.00792,0.251,3527735,44.0,11.5,6542
Tlaxcala,2018-04-01,2018,4,16.16,37.26,50.16,21.12,39.12,0.03857,0.02849,0.01733,0.843,1342977,336.5,12.2,4072
Veracruz,2018-04-01,2018,4,23.27,81.74,76.82,13.98,25.86,0.04352,0.02107,0.01122,0.489,8062579,112.26,13.5,16608
Yucatán,2018-04-01,2018,4,24.52,63.59,78.75,8.51,19.08,0.03987,0.01133,0.0077,0.311,2320898,58.72,12.5,4365
Zacatecas,2018-04-01,2018,4,15.19,54.95,56.39,16.76,23.97,0.03918,0.0264,0.01382,0.652,1622138,21.55,12.8,4368
Aguascalientes,2018-05-01,2018,5,24.55,76.78,64.26,7.52,14.87,0.0469,0.00997,0.00829,0.175,1425607,253.76,11.5,2716
Baja California,2018-05-01,2018,5,25.21,80.2,62.23,13.96,22.45,0.04877,0.01808,0.0104,0.416,3769020,52.75,10.2,6323
Baja California Sur,2018-05-01,2018,5,24.72,13.82,58.88,5.7,10.43,0.05099,0.00817,0.00278,0.227,798447,10.8,9.8,1201
Campeche,2018-05-01,2018,5,27.11,153.32,66.87,9.9,27.55,0.0503,0.01195,0.00747,0.392,928363,16.03,12.0,1555
Chiapas,2018-05-01,2018,5,28.15,148.04,60.4,7.39,13.71,0.04749,0.00851,0.00685,0.36,5543828,75.64,14.5,9602
Chihuahua,2018-05-01,2018,5,22.69,23.05,43.42,8.98,20.07,0.05141,0.01677,0.00722,0.325,3741869,15.12,11.8,6771
Coahuila,2018-05-01,2018,5,,,44.24,,,0.04659,0.00762,0.00686,0.174,3146771,20.76,11.0,3922
Colima,2018-05-01,2018,5,28.97,89.28,77.46,9.27,16.68,0.0515,0.01268,0.00694,0.407,731391,130.03,12.5,1219
CDMX,2018-05-01,2018,5,22.52,84.1,66.61,18.33,31.82,0.04702,0.02582,0.01303,0.626,9209944,6160.5,14.2,23794
Durango,2018-05-01,2018,5,24.8,57.8,67.37,15.36,26.15,0.05064,0.02076,0.01036,0.416,1832650,14.86,12.0,3399
Guanajuato,2018-05-01,2018,5,24.77,53.53,64.07,15.83,28.76,0.04732,0.0215,0.01005,0.444,6166934,201.49,12.2,12614
Guerrero,2018-05-01,2018,5,,,68.0,,,0.0436,0.00841,0.00646,0.237,3540685,55.67,13.8,5550
Hidalgo,2018-05-01,2018,5,22.06,80.19,63.49,12.04,18.03,0.05296,0.01713,0.01034,0.504,3082841,148.12,13.0,6077
Jalisco,2018-05-01,2018,5,20.74,57.73,69.67,14.88,31.73,0.04494,0.01775,0.00951,0.56,8348151,106.23,12.4,20281
Edomex,2018-05-01,2018,5,20.31,53.27,52.04,20.4,32.73,0.04436,0.02458,0.01569,0.692,16992418,760.05,11.9,45426
Michoacán,2018-05-01,2018,5,24.14,70.68,60.13,8.62,15.31,0.04624,0.01129,0.00826,0.156,4748846,81.04,13.2,7842
Morelos,2018-05-01,2018,5,26.27,88.18,63.95,15.26,21.86,0.04737,0.02195,0.01111,0.734,1971520,404.08,13.5,3784
Nayarit,2018-05-01,2018,5,28.69,77.97,66.5,7.2,13.8,0.04817,0.01064,0.00479,0.446,1235456,44.42,12.8,1959
Nuevo León,2018-05-01,2018,5,24.56,55.35,65.92,15.19,33.84,0.04596,0.02291,0.01089,0.412,5784442,90.16,10.8,11886
Oaxaca,2018-05-01,2018,5,26.42,63.1,68.59,10.96,26.28,0.04681,0.01415,0.00808,0.505,4132148,44.07,14.8,7848
Puebla,2018-05-01,2018,5,24.05,54.18,75.83,17.64,40.75,0.05047,0.02489,0.01448,0.563,6583278,191.9,12.6,14436
Querétaro,2018-05-01,2018,5,23.75,70.08,55.17,14.09,26.1,0.0454,0.01858,0.01043,0.51,2368467,202.71,11.2,5011
Quintana Roo,2018-05-01,2018,5,30.83,86.95,77.08,9.29,12.66,0.0476,0.01353,0.0078,0.382,1857985,41.56,9.5,2966
San Luis Potosí,2018-05-01,2018,5,24.22,91.89,58.52,11.6,20.46,0.05025,0.01461,0.00941,0.518,2822255,46.16,12.5,5287
Sinaloa,2018-05-01,2018,5,,,73.51,,,0.04864,0.0086,0.00437,0.308,3026943,52.77,12.0,4652
Sonora,2018-05-01,2018,5,29.33,13.22,38.88,11.67,16.37,0.05291,0.01534,0.00802,0.339,2944840,16.42,11.2,4873
Tabasco,2018-05-01,2018,5,32.0,164.64,81.97,6.55,6.24,0.05083,0.00858,0.005,0.144,2402598,97.15,12.5,3828
Tamaulipas,2018-05-01,2018,5,26.35,65.58,67.1,9.66,13.29,0.05176,0.0165,0.00695,0.351,3527735,44.0,11.5,5912
Tlaxcala,2018-05-01,2018,5,19.8,80.32,56.2,16.12,26.14,0.04392,0.02065,0.01481,0.492,1342977,336.5,12.2,3335
Veracruz,2018-05-01,2018,5,27.85,162.43,90.03,14.32,30.55,0.05104,0.02089,0.01033,0.405,8062579,112.26,13.5,15839
Yucatán,2018-05-01,2018,5,29.0,83.9,77.73,9.73,20.92,0.04816,0.01085,0.0072,0.259,2320898,58.72,12.5,3501
Zacatecas,2018-05-01,2018,5,22.9,76.43,64.39,9.43,19.87,0.0472,0.01518,0.00775,0.298,1622138,21.55,12.8,2902
Aguascalientes,2018-06-01,2018,6,28.45,91.85,77.76,6.15,12.81,0.04862,0.00791,0.00272,0.214,1425607,253.76,11.5,2228
Baja California,2018-06-01,2018,6,24.84,103.88,64.35,9.86,19.76,0.05303,0.00989,0.00433,0.289,3769020,52.75,10.2,7044
Baja California Sur,2018-06-01,2018,6,29.69,24.9,70.04,7.1,7.28,0.04635,0.01033,0.00641,0.2,798447,10.8,9.8,1038
Campeche,2018-06-01,2018,6,30.64,220.17,68.19,4.57,5.0,0.05259,0.00865,0.00307,0.133,928363,16.03,12.0,1190
Chiapas,2018-06-01,2018,6,26.79,197.82,76.74,8.53,15.78,0.0506,0.00745,0.0057,0.332,5543828,75.64,14.5,8844
Chihuahua,2018-06-01,2018,6,29.48,21.88,45.54,7.39,15.04,0.0485,0.0077,0.00459,0.239,3741869,15.12,11.8,6010
Coahuila,2018-06-01,2018,6,32.41,103.38,52.63,8.28,15.67,0.05208,0.00861,0.00614,0.138,3146771,20.76,11.0,3827
Colima,2018-06-01,2018,6,31.22,87.46,76.84,11.48,15.5,0.05045,0.01428,0.00766,0.322,731391,130.03,12.5,1373
CDMX,2018-06-01,2018,6,25.82,75.56,68.32,18.92,30.21,0.05019,0.02411,0.01357,0.531,9209944,6160.5,14.2,19994
Durango,2018-06-01,2018,6,28.95,90.52,71.93,5.08,9.12,0.05157,0.00545,0.00486,0.162,1832650,14.86,12.0,2298
Guanajuato,2018-06-01,2018,6,31.0,92.07,68.98,14.87,29.44,0.04896,0.01857,0.01172,0.489,6166934,201.49,12.2,11473
Guerrero,2018-06-01,2018,6,31.22,103.26,77.47,6.66,14.4,0.05484,0.00759,0.00446,0.102,3540685,55.67,13.8,5904
Hidalgo,2018-06-01,2018,6,29.67,72.31,66.98,10.28,19.71,0.05005,0.01259,0.00797,0.198,3082841,148.12,13.0,5589
Jalisco,2018-06-01,2018,6,25.77,75.46,77.25,12.5,21.17,0.05027,0.01666,0.00946,0.39,8348151,106.23,12.4,14854
Edomex,2018-06-01,2018,6,25.8,101.73,70.84,19.42,36.71,0.04814,0.02672,0.01407,0.363,16992418,760.05,11.9,36168
Michoacán,2018-06-01,2018,6,27.75,82.38,72.21,10.84,15.32,0.05326,0.01297,0.00756,0.282,4748846,81.04,13.2,7779
Morelos,2018-06-01,2018,6,28.63,95.02,70.71,6.33,17.62,0.05341,0.00866,0.0046,0.1,1971520,404.08,13.5,3479
Nayarit,2018-06-01,2018,6,28.58,96.42,78.26,6.18,13.75,0.05337,0.00941,0.00317,0.196,1235456,44.42,12.8,2159
Nuevo León,2018-06-01,2018,6,26.0,70.3,68.93,16.62,23.34,0.05438,0.02132,0.01264,0.556,5784442,90.16,10.8,11347
Oaxaca,2018-06-01,2018,6,27.69,95.8,71.11,5.3,10.28,0.04947,0.00878,0.00375,0.1,4132148,44.07,14.8,6871
Puebla,2018-06-01,2018,6,27.25,98.57,71.87,10.88,21.7,0.05358,0.01452,0.00769,0.396,6583278,191.9,12.6,12281
Querétaro,2018-06-01,2018,6,28.27,102.15,77.75,11.98,19.62,0.04613,0.01559,0.01059,0.332,2368467,202.71,11.2,4062
Quintana Roo,2018-06-01,2018,6,31.97,81.02,85.8,2.0,7.5,0.048,0.00438,0.00317,0.1,1857985,41.56,9.5,2302
San Luis Potosí,2018-06-01,2018,6,,,78.13,,,0.04615,0.01502,0.0082,0.331,2822255,46.16,12.5,5167
Sinaloa,2018-06-01,2018,6,,,75.71,,,0.05102,0.01443,0.00962,0.512,3026943,52.77,12.0,5592
Sonora,2018-06-01,2018,6,36.59,19.62,56.03,5.43,9.92,0.04885,0.01108,0.00379,0.173,2944840,16.42,11.2,4232
Tabasco,2018-06-01,2018,6,32.25,209.29,95.8,6.14,10.13,0.04862,0.00639,0.00445,0.139,2402598,97.15,12.5,3548
Tamaulipas,2018-06-01,2018,6,27.01,93.4,71.9,6.59,8.51,0.05017,0.00755,0.00406,0.227,3527735,44.0,11.5,5641
Tlaxcala,2018-06-01,2018,6,23.64,106.24,72.9,8.84,14.93,0.05117,0.01032,0.00566,0.369,1342977,336.5,12.2,2550
Veracruz,2018-06-01,2018,6,30.48,223.64,87.02,7.37,10.0,0.04895,0.00553,0.0038,0.245,8062579,112.26,13.5,13500
Yucatán,2018-06-01,2018,6,29.5,101.92,91.8,6.38,8.4,0.05187,0.00737,0.00377,0.1,2320898,58.72,12.5,3353
Zacatecas,2018-06-01,2018,6,27.87,99.02,67.38,8.6,14.64,0.05169,0.00848,0.0077,0.245,1622138,21.55,12.8,2568
